iter	MultiClass	Accuracy
558	-0.06636574807	0.9956958393
559	-0.06618416439	0.9956958393
560	-0.06598505601	0.9956958393
561	-0.06581941805	0.9956958393
562	-0.06561376798	0.9956958393
563	-0.065418584	0.9956958393
564	-0.06530027145	0.9956958393
565	-0.06514754116	0.9956958393
566	-0.06498084	0.9956958393
567	-0.06477241028	0.9956958393
568	-0.06461729158	0.9956958393
569	-0.06437735659	0.9956958393
570	-0.06417680893	0.9956958393
571	-0.06400899285	0.9956958393
572	-0.06385026751	0.9956958393
573	-0.06365707516	0.9956958393
574	-0.06352879778	0.9956958393
575	-0.06334332193	0.9956958393
576	-0.06318930831	0.9956958393
577	-0.06301452331	0.9956958393
578	-0.06284557501	0.9956958393
579	-0.062665087	0.9956958393
580	-0.0624752692	0.9956958393
581	-0.06229817675	0.9956958393
582	-0.06212196862	0.9956958393
583	-0.06196203442	0.9956958393
584	-0.06177287926	0.9956958393
585	-0.06158471397	0.9956958393
586	-0.06146691017	0.9956958393
587	-0.06128449699	0.9956958393
588	-0.06112734859	0.9956958393
589	-0.06090043178	0.9956958393
590	-0.06078218102	0.9956958393
591	-0.06062405387	0.9956958393
592	-0.06047471877	0.9956958393
593	-0.06031825131	0.9956958393
594	-0.06007917259	0.9956958393
595	-0.05996374819	0.9956958393
596	-0.05984047443	0.9956958393
597	-0.05971801875	0.9956958393
598	-0.05954521074	0.9956958393
599	-0.05940000384	0.9956958393
600	-0.0592247463	0.9956958393
601	-0.05909316099	0.9956958393
602	-0.05893912687	0.9956958393
603	-0.05879274541	0.9956958393
604	-0.05862462956	0.9956958393
605	-0.05846397889	0.9956958393
606	-0.05829908165	0.9956958393
607	-0.05813814707	0.9956958393
608	-0.05800701505	0.9956958393
609	-0.05782506349	0.9956958393
610	-0.05766797301	0.9956958393
611	-0.05753543751	0.9956958393
612	-0.05741975592	0.9956958393
613	-0.05727244118	0.9956958393
614	-0.05715144867	0.9956958393
615	-0.05707597274	0.9956958393
616	-0.05692317955	0.9956958393
617	-0.05677175262	0.9971305595
618	-0.05660689836	0.9971305595
619	-0.05647513776	0.9956958393
620	-0.05636956608	0.9956958393
621	-0.05626009216	0.9971305595
622	-0.05606771066	0.9971305595
623	-0.05592434544	0.9971305595
624	-0.05576833484	0.9971305595
625	-0.05558356698	0.9971305595
626	-0.05543121175	0.9971305595
627	-0.05528778766	0.9971305595
628	-0.05514354874	0.9971305595
629	-0.05499698094	0.9971305595
630	-0.05491340131	0.9971305595
631	-0.0547402072	0.9971305595
632	-0.05460691727	0.9971305595
633	-0.05446723563	0.9971305595
634	-0.05435457568	0.9971305595
635	-0.05422762639	0.9971305595
636	-0.05410084696	0.9971305595
637	-0.05397493278	0.9971305595
638	-0.05383449215	0.9971305595
639	-0.05369383481	0.9971305595
640	-0.05352511859	0.9971305595
641	-0.05341177459	0.9971305595
642	-0.05328573193	0.9971305595
643	-0.05317367901	0.9971305595
